channel1,channel2,channel3
59923,98303,147455
71277,131071,180223
66531,163839,212991
62458,196607,245759
62638,229375,278527
63420,258175,311295
64453,257122,344063
66161,253145,351387
67296,241661,355213
66213,229714,362821
69133,231573,386030
78430,261620,416664
73591,256628,398017
66686,247258,381365
61691,251993,373646
62621,266912,376287
68996,283702,389027
76187,296558,399148
83678,305180,405233
90171,310298,408703
93957,313062,410248
96784,314800,411134
98799,315430,411933
100419,316644,412540
101815,317782,413393
103052,318423,413716
104149,319138,414262
105080,319274,414581
105811,319804,414726
106465,319942,415023
107042,320170,414919
107500,320210,414977
108118,320550,414921
108654,320896,415550
109143,321044,415622
109444,321214,415707
109719,321357,415658
109983,321286,415819
110301,321449,416139
110589,321513,416417
110799,321138,416113
110957,320871,415789
111119,320395,415451
111350,320267,415280
111590,320002,415325
111917,319711,415043
112223,319604,414985
112589,319381,415083
112796,319047,414923
112981,318579,414246
113105,318008,413661
113151,317332,413162
113214,316802,412724
113420,316677,412740
113589,316434,412603
113769,316036,412407
113934,315741,412251
114036,315587,411992
114151,315224,411700
114196,314933,411266
114313,314388,411145
114360,314126,410868
114464,313937,410592
114514,313883,410685
114616,313563,410448
114636,313390,410472
114703,313307,410609
114806,313464,410911
114966,314021,411319
115191,314424,411667
115316,314678,411879
115395,314393,411827
115460,314361,411742
115473,314149,411601
115533,313906,411406
115550,313916,411196
115605,313794,411072
115619,313486,411009
115671,313632,410841
115693,313488,410674
115754,313477,410777
115754,313271,410499
115686,312745,410126
115657,312519,409786
115611,312021,409411
114874,309157,406462
114755,308240,405439
114771,308395,405517
114770,308213,405323
114781,308451,405516
114890,308590,405664
114937,308966,405945
115017,309002,406081
115087,309079,406336
115083,308972,406105
115050,308781,405830
115034,308752,405746
115056,308579,405604
114961,308340,405460
114971,308408,405412
115042,308324,405686
115088,308484,405685
115042,308384,405531
114983,308190,405262
114955,307918,405191
114913,307797,404943
114872,307680,404861
114879,307669,404681
114847,307734,404874
114766,307573,404900
114695,307458,404635
114739,307371,404517
114755,307299,404343
114674,306870,403959
114636,306610,403695
114595,306312,403559
114554,306169,403441
114512,306168,403255
114595,306213,403291
114556,306334,403372
114589,306249,403537
114608,306339,403451
114591,306155,403407
114550,306016,403134
114537,305933,403123
114565,305870,403040
114559,305911,402798
114512,305426,402634
114486,305253,402558
114479,305246,402343
114439,305096,402154
114448,304951,402214
114518,304984,402081
114519,305107,402208
114538,305132,402226
114554,305074,402209
114577,305153,402129
114579,304757,402019
114569,304552,401679
114522,304421,401526
114457,304169,401199
114353,303795,400979
114162,303196,400356
113952,302616,399863
113823,302562,399740
113716,302504,399793
113742,302479,399737
113749,302373,399576
113741,302133,399485
113740,302177,399455
113718,302050,399228
113731,302062,399445
113765,302195,399439
113809,302421,399772
113863,302519,399621
113832,302305,399612
113821,302062,399285
113780,301940,399057
113792,301848,399069
113799,301712,398810
113732,301425,398665
113777,301339,398545
113764,301151,398456
113781,301421,398659
113883,301713,398721
113973,302118,399109
114108,302437,399302
114199,302651,399588
114310,302805,399658
114417,303085,399799
114550,303350,400208
114623,303503,400238
114797,304235,400627
115105,305342,401373
115589,307708,403061
116111,310697,403727
111561,300552,389328
91413,278866,377170
95702,262482,372462
82258,246098,360786
65874,229714,344402
65511,98303,98303
98303,131071,131071
98519,163839,163839
101194,196607,196607
102817,229375,229375
103431,262143,262143
105297,294558,294911
107689,299315,327679
109768,300087,360447
111427,299176,393215
111962,298236,425983
112742,299182,441384
113687,300849,442334
115548,302110,443771
117427,304213,444212
118162,305605,443458
119035,306091,443107
119906,306017,442686
120705,305466,442492
121876,305368,443060
123919,305459,444811
126509,306184,446911
130754,306989,449472
134166,304526,449266
135255,295633,443947
132709,282566,432043
125156,262639,409938
113489,246098,393554
80537,175360,272096
88423,195945,302151
101554,228011,344035
118614,268029,376831
135263,310307,409599
133259,320097,441629
126020,316326,422737
120917,312017,409938
118933,308600,400105
